id,file,width,height,bytes,format,quality,filter,linear_light,sharpen
olympus-poseidon,olympus-poseidon.png,64,88,14323,png,lossless,lanczos,True,15
olympus-zeus,olympus-zeus.png,64,88,14384,png,lossless,lanczos,True,15
pandemonium-envy,pandemonium-envy.png,64,88,12806,png,lossless,lanczos,True,15
pandemonium-gluttony,pandemonium-gluttony.png,64,88,11825,png,lossless,lanczos,True,15
pandemonium-greed,pandemonium-greed.png,64,88,13805,png,lossless,lanczos,True,15
pandemonium-lust,pandemonium-lust.png,64,88,13089,png,lossless,lanczos,True,15
pandemonium-pride,pandemonium-pride.png,64,88,13579,png,lossless,lanczos,True,15
pandemonium-sloth,pandemonium-sloth.png,64,88,11844,png,lossless,lanczos,True,15
pandemonium-wrath,pandemonium-wrath.png,64,88,12834,png,lossless,lanczos,True,15
roma-augustus,roma-augustus.png,64,88,13399,png,lossless,lanczos,True,15
roma-brutus,roma-brutus.png,64,88,12059,png,lossless,lanczos,True,15
roma-cicero,roma-cicero.png,64,88,13400,png,lossless,lanczos,True,15
roma-constantine-the-great,roma-constantine-the-great.png,64,88,13078,png,lossless,lanczos,True,15
roma-julius-caesar,roma-julius-caesar.png,64,88,12538,png,lossless,lanczos,True,15
roma-spartacus,roma-spartacus.png,64,88,12520,png,lossless,lanczos,True,15
sherwood-friar-tuck,sherwood-friar-tuck.png,64,88,12480,png,lossless,lanczos,True,15
sherwood-guy-of-gisborne,sherwood-guy-of-gisborne.png,64,88,12990,png,lossless,lanczos,True,15
sherwood-little-john,sherwood-little-john.png,64,88,12236,png,lossless,lanczos,True,15
sherwood-maid-marian,sherwood-maid-marian.png,64,88,12954,png,lossless,lanczos,True,15
sherwood-robin-hood,sherwood-robin-hood.png,64,88,13795,png,lossless,lanczos,True,15
sherwood-will-scarlet,sherwood-will-scarlet.png,64,88,13467,png,lossless,lanczos,True,15
tortuga-anne-bonny,tortuga-anne-bonny.png,64,88,12701,png,lossless,lanczos,True,15
tortuga-blackbeard,tortuga-blackbeard.png,64,88,12297,png,lossless,lanczos,True,15
tortuga-calico-jack,tortuga-calico-jack.png,64,88,13066,png,lossless,lanczos,True,15
tortuga-captain-kidd,tortuga-captain-kidd.png,64,88,12081,png,lossless,lanczos,True,15
tortuga-davy-jones,tortuga-davy-jones.png,64,88,12316,png,lossless,lanczos,True,15
tortuga-flying-dutchman,tortuga-flying-dutchman.png,64,88,12411,png,lossless,lanczos,True,15
tortuga-kraken,tortuga-kraken.png,64,88,13386,png,lossless,lanczos,True,15
transylvania-carmilla,transylvania-carmilla.png,64,88,12404,png,lossless,lanczos,True,15
transylvania-dorian-gray,transylvania-dorian-gray.png,64,88,11792,png,lossless,lanczos,True,15
transylvania-dracula,transylvania-dracula.png,64,88,12186,png,lossless,lanczos,True,15
transylvania-frankensteins-monster,transylvania-frankensteins-monster.png,64,88,12653,png,lossless,lanczos,True,15
transylvania-invisible-man,transylvania-invisible-man.png,64,88,12869,png,lossless,lanczos,True,15
transylvania-mr-hyde,transylvania-mr-hyde.png,64,88,11899,png,lossless,lanczos,True,15
transylvania-van-helsing,transylvania-van-helsing.png,64,88,12290,png,lossless,lanczos,True,15
yamato-abe-no-seimei,yamato-abe-no-seimei.png,64,88,13892,png,lossless,lanczos,True,15
yamato-benkei,yamato-benkei.png,64,88,12061,png,lossless,lanczos,True,15
yamato-minamoto-no-yoshitsune,yamato-minamoto-no-yoshitsune.png,64,88,13659,png,lossless,lanczos,True,15
yamato-miyamoto-musashi,yamato-miyamoto-musashi.png,64,88,12344,png,lossless,lanczos,True,15
yamato-momotaro,yamato-momotaro.png,64,88,13445,png,lossless,lanczos,True,15
yamato-tomoe-gozen,yamato-tomoe-gozen.png,64,88,12586,png,lossless,lanczos,True,15
